MolName,Density,SMILES
EDELIJ,1.328,Cc1c(-c2nnco2)ncn1Cc1ccccc1
EDELOP,1.3669,Cc1ncn(Cc2ccccc2)c1-c1nnco1
EDENAC,1.2231,Cc1cc(C)n(C(=O)OC(C)(C)C)c1C(=O)OCc1ccccc1
EDENEH01,1.3116,COc1cccc(CNc2ccccc2NCc2cccc(OC)c2O)c1O
EDENIL,1.2243,COc1ccc(/C=C/C(=O)NN)cc1
EDEPAF,1.2233,COc1ccccc1/C=N/N=C/c1ccccc1OC
EDEPOT,1.3575,O=C1CC(c2ccccc2)OC(c2ccc([N+](=O)[O-])cc2)C1
EDEQAG,1.3403,COc1cccc(/C=N/c2cccnc2)c1O
EDEQUA,1.2921,CC(=O)C(=CNc1cccc2nc(-c3ccccc3)c(-c3ccccc3)nc12)C(C)=O
EDERAH,1.3538,O=C(NCc1cccnc1)c1ccccc1O
EDERIO,1.4635,O=C(O)CCN(CN1C(=O)CCC1=O)CN1C(=O)CCC1=O
EDEROV,1.2651,CC(=O)c1c(-c2ccccc2)noc1C
EDETOX,1.2668,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2OC(=O)c1ccc([N+](=O)[O-])cc1
EDEWEQ,1.2824,COc1ccc(/C=N/C(c2ccc(OC)cc2)c2c(O)ccc3ccccc23)cc1
EDEWUA,1.262,CCC(=O)N1CC2CCC(C1)N2C/C=C/c1ccc([N+](=O)[O-])cc1
EDIBAU,1.324,CC12C=CC3(C(=O)N(Cc4ccccc4)C(=O)C34C=CC(OO1)c1ccccc14)c1ccccc12
EDIBEB,1.3569,O=c1c2ccccc2n(Cc2ccccc2)c2c(=O)c3ccccc3n(Cc3ccccc3)c12
EDICAV,1.2587,COc1ccc(C2C(c3ccccc3)=NN(c3ccc(C)cc3)C23CCCC2(C3=O)C(c3ccc(OC)cc3)C(c3ccccc3)=NN2c2ccc(C)cc2)cc1
EDIHII01,1.2451,COC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccccc1
EDIMAH,1.2517,CCOC(=O)CN1C(=O)C(=C(C2CC2)C2CC2)/C(=C(\C)c2cc(C)oc2C)C1=O
EDINAI,1.2994,CC1=CC2=C(C)C3=C(C(=O)N4C3=Nc3cccc5cccc4c35)C(C)(C)C2(C)O1
EDIPOY,1.309,CC1=C2C=C(c3ccccc3)O[C@@]2(C)[C@@H](c2ccccc2)C2=C1C(=C(C#N)C#N)OC2=O
EDIQEP,1.2757,CN1c2ccccc2C2=C(c3ccccc3)c3ccc4ccccc4c3OC21c1ccccc1
EDIROA,1.294,COc1cc(/C=C2/C(=O)OC(=C(C#N)C#N)C2=C2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)cc(OC)c1
EDIRUG,1.3336,COc1cc(/C=C2/C(=C(C#N)C#N)OC(=O)C2=C2C3CC4CC(C3)CC2C4)cc(OC)c1
EDISIV,1.2544,CC1=CC2=C(C)C3=C(C(=O)C2(C)O1)C(C1CC1)(C1CC1)N(CC#N)C3=O
EDISUH,1.2616,C/C(=C1\C(=O)n2c(nc3ccccc32)C1=C(C1CC1)C1CC1)c1cc(C)oc1C
EDITAO,1.2987,C/C(=C1/C(=O)n2c(nc3ccccc32)C1=C(C1CC1)C1CC1)c1cc(C)oc1C
EDITIW,1.241,C/C(=C1\C(=C(C2CC2)C2CC2)C(=O)n2c1nc1ccccc12)c1cc(C)oc1C
EDITOB,1.3314,COc1cccc2c(=O)[nH]c(CCCC#N)cc12
EDIVUK,1.2873,CC1=CC2=C(C)C3=C(C(=O)C2(C)O1)C(C1CC1)(C1CC1)N(c1ccc(C)cc1)C3=O
EDIWIZ,1.2046,Cc1ccc(NC(=O)C(C2=C(c3cc(C)oc3C)CN(Cc3ccccc3)C2=O)C(C2CC2)C2CC2)cc1
EDIXEW,1.3282,CC(C)=C1C(=O)n2c(nc3ccccc3c2=O)/C1=C(/C)c1cc(C)oc1C
EDIXIA,1.3588,CC(C)=C1/C(=C(\C)c2cc(C)oc2C)C(=O)n2c1nc1ccccc1c2=O
EDIYOG,1.2498,COc1ccc2cc(C(C)C(=O)N/N=C/c3ccccc3O)ccc2c1
EDIYOH,1.1921,CCC1=C(C(=O)OC)C(C(=O)OC)=C(CC)C(c2ccccc2)=C(c2ccccc2)C1=C(C#N)C#N
EDIYUN,1.2676,C/C(=C1/C(=O)n2c(nc3ccccc32)C1=C1C2CC3CC(C2)CC1C3)c1cc(C)oc1C
EDMBOX,1.1632,Cc1ccc(/C(=N\O)N(C)C)cc1
EDOJIS,1.221,CCCC1(NC(=O)c2ccccc2)C(=O)N2C(Cc3ccccc3)C(=O)OC2(C)CC1c1ccccc1
EDOJOY,1.245,CCCC1(NC(=O)c2ccccc2)C(=O)N2C(Cc3ccccc3)C(=O)OC2(C)CC1c1ccccc1
EDOMUI,1.4323,CNC1=CC(=O)C(O)=C(C)C1=O
EDONAP,1.3313,COC1=CC(=O)C(Nc2ccccc2)C(C)(O)C1O
EDONIV,1.3857,COC(=O)c1cn(-c2nc(C(=O)OC)n(C3OC(COC(C)=O)C(OC(C)=O)C3OC(C)=O)n2)nn1
EDONOB,1.4341,COC(=O)c1nc(-n2cc(-c3ccc(OC)cc3)nn2)nn1C1OC(COC(C)=O)C(OC(C)=O)C1OC(C)=O
EDOPEU,1.3173,COc1ccc(C(=O)Cn2nc(-c3ccccc3)cc2N)cc1
EDOPIY,1.2739,COc1ccc(-c2c(C)n3nc(-c4ccccc4)cc3n2C)cc1
EDOPOE,1.2729,COc1ccc(-c2cn3nc(-c4ccccc4)cc3n2C)cc1
EDOPUK01,1.2285,COc1ccc(-c2c(-c3ccc(C)cc3)n3nc(-c4ccccc4)cc3n2C)cc1
EDORAQ,1.2705,CCC1NC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
EDOREW,1.7715,N#[N+]/N=C1/C([N+](=O)[O-])=CC2=[NH+]N=NC2=C1[N+](=O)[O-]
EDOWAX,1.3396,O=C1Nc2ccccc2C1(N1CCOCC1)N1CCOCC1
EDOWOJ,1.2374,Cc1cc(C)n(-c2ccc(-c3ccccc3)cc2)c(=O)n1
EDTAXX02,1.6368,O=C([O-])C[NH+](CC[NH+](CC(=O)[O-])CC(=O)O)CC(=O)O
EDUJUI,1.372,CC1(C)OC2C(CO)OC(n3cnc4c3NCNC4=O)C2O1
EDUXIL,1.4325,O=c1ccccn1-c1cnccn1
EDUYAE,1.2348,CCOC(=O)c1cc(-c2ccccc2)nn1Cc1ccccc1
EDUYIM,1.2807,CCOC(=O)C1=NN(c2ccc([N+](=O)[O-])cc2)C2(C)CC3(c4ccccc4)N(c4ccccc4)N=C(c4ccc(C)cc4)N3c3ccccc3N12
EDUYIN,1.3023,Cc1ccccc1/C=C1\CN2CC3(C1=O)C(c1ccccc1C)C(c1ccccc1)NC31c3cccc4cccc(c34)C21O
EDUZAG,1.25,CC(C)c1ccc(C2C(C#N)=C(c3c[nH]c4ccccc34)OC2C(=O)c2ccccc2)cc1
EDUZOU,1.1731,CC(=O)Oc1ccc(-c2c3nc(c(-c4ccc(OC(C)=O)cc4)c4ccc([nH]4)c(-c4ccc(OC(C)=O)cc4)c4nc(c(-c5ccc(OC(C)=O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1
EDUZUB,1.4331,COC(=O)c1ccccc1C(=O)C1=Nc2cc(C)ccc2OC12Oc1ccc(C)cc1NC1=C2C(=O)c2ccccc2C1=O
EDXMAL,1.4438,CN1C(=O)N(C)C23OCCOC2(Nc2ccccc2N3C)C1=O
EFABAP,1.2827,c1ccc(CN2COc3ccc4ccccc4c3C2)cc1
EFABIY,1.196,C=CCn1c(C(C)O)nc2ccccc21
EFABOD,1.3525,N#CC(OC(=O)c1ccccc1)C(C#N)OC(=O)c1ccccc1
EFABOE,1.3059,COc1ccc(O)c(/C=N/NC(=O)c2ccccc2OC)c1
EFABUJ,1.3061,CC(=O)OC(C#N)C(C#N)OC(C)=O
EFABUK,1.3745,COc1ccccc1C(=O)N/N=C/c1cccc(O)c1O
EFAFUO,1.1861,C=C(CN1CCC/C1=C\C(=O)c1ccccc1)c1ccccc1
EFAGAV,1.1923,CCOc1ccccc1C1NC(c2ccccc2OCC)C2CCCC1C2=O
EFAGUN,1.1608,O=C1/C=C/CCNC(=O)/C=C/CCNC(=O)/C=C/CCN1
EFAHEA01,1.352,COc1ccc(N2C(=O)C(c3ccccc3)C2C2OC3(O)c4ccccc4C(=O)C34N3CCCC3CC24C#N)cc1
EFAMOP,1.3131,COC(=O)C12CC3CCCN3C13c1cccc4cccc(c14)C3(O)OC2C1C(Oc2ccccc2)C(=O)N1c1ccc(OC)cc1
EFAPIM,1.2794,CC(=O)c1nc2ccccc2n1Cc1ccccc1
EFAQAF,1.264,CN1CC2c3ccccc3OCCCCOc3ccccc3C(=O)C2C12C(=O)Nc1ccccc12
EFAQEJ,1.2758,CN1CC2c3ccccc3OCCCCOc3ccccc3C(=O)C2C12C(=O)c1cccc3cccc2c13
EFAQIM,1.3031,CC(C)(C)OC(=O)N1CCC2(C1)OC(=O)Nc1ccccc12
EFARUB,1.2619,O=c1cccc(C#CCc2ccccc2)[nH]1
EFASAI,1.2083,O=c1cccc(C#CCCc2ccccc2)[nH]1
EFATIO,1.1944,COc1ccc2c(c1)CCC1C2CCC(C)(C(O)c2ccccc2)C1CC#N
EFATOW,1.4091,C=CCn1ncc2ccc([N+](=O)[O-])cc21
EFAVOZ,1.4157,COC(=O)C1C2C=CC3(O2)C1C(=O)N1CCn2cccc2C13
EFAYUF,1.278,CC1(C(=O)O)CCC(C(N)=O)C1(C)C
EFAZAO,1.3357,Cc1cc(C)n(C(=O)c2cc(C#N)n3c(C)cccc23)n1
EFEDEA,1.2404,CC1(C)OC2OC(Cn3cc(C4(O)CCC5C6CCC7=CC(=O)CCC7(C)C6CCC54C)nn3)C(OCc3ccccc3)C2O1
EFEFED,1.279,CCOC(=O)C1=C(N)n2c(/N=C/c3ccccc3)nc(-c3ccccc3)c2C1c1ccccc1
EFEJIJ,1.353,O=C1NC(c2ccccc2)C(C(=O)c2ccccc2)O1
EFERUE,1.2811,N#CC1C2CCCN2C2(C(=O)N(Cc3ccccc3)c3ccccc32)C12C(=O)N(Cc1ccccc1)c1ccccc12
EFEVAP,1.2094,CCOC(=O)[C@]1(C(=C(C#N)C#N)c2ccccc2)CN1C(=O)OC(C)(C)C
EFEVET,1.2294,CCOC(=O)C1=C(c2ccccc2)C(C#N)(C#N)CN1C(=O)OC(C)(C)C
EFEWIY,1.2704,CCCN1C(=O)/C(=N\NC(=O)c2cccc(C)c2)c2ccccc21
EFICEC,1.2121,C=C(C)C1CCC2C(C)(OC(=O)c3ccc([N+](=O)[O-])cc3)CCCC12C#N
EFICIG,1.1289,C=C(C)C1CCC2C(C)(O)CCCC12C#N
EFICOM,1.2064,CC12CCCC(C#N)C1CCCC(=O)O2
EFIHIN,1.3142,CC(=N\O)/C(C)=N/NC(=O)N/N=C(C)/C(C)=N/O
EFIHOQ,1.1658,CC(C)(C)[N+](=O)c1cc(C2=[N+]([O-])C(C)(C)C(C)(C)[N+]2=O)cc([N+](=O)C(C)(C)C)c1
EFILEK,1.2595,OC12C3C4CC5C6C4C1C6C(C53)N2CCc1ccccc1
EFIPAM,1.225,CC(=O)N1c2cc(C)c(C)cc2C2C3CCC(C3)C21
EFISER,1.12,CC(C)(C)C(=O)OCC1CC(OC(=O)C(C)(C)C)C2C3C(=O)NN=CC132
EFIVUM,1.2606,CCOC(=O)c1[nH]cc(C#N)c1/C=C/c1cccc(OC)c1
EFIWUO,1.2605,O=C1Nc2ccccc2C(c2ccccc2)N1
EFIXID,1.3772,COC(=O)C1(C2(O)C(=O)N(C)c3ccccc32)OC(c2ccccc2)=Nc2ccccc21
EFOCAG,1.2665,CN1C(=O)CC(c2cccc3c2N(C(=O)C(C)(C)C)CC3)C1=O
EFODIN,1.2605,Cc1ccc(C(=O)c2cc3c4c(c2O)CCCN4CCC3)cc1
EFODOT,1.1968,CCN(CC)c1ccc(C(=O)c2ccc(C)cc2)c(O)c1
EFODUA,1.2829,Cn1nc(-c2ccccc2)c2c1NC(C(=O)c1ccccc1)Nc1c(c(-c3ccccc3)nn1C)C2C(=O)c1ccccc1
EFOLUG,1.247,CN1C(=O)C(C(C(=O)c2ccccc2)C2CCCCC2=O)c2ccccc21
EFOWED,1.2095,Cc1ccc(C(=O)C(C)N2CCOCC2)cc1
EFUBEN,1.4022,CCOC(=O)C1=CC(=O)C2C(N1)c1cc(OC)ccc1OC2(O)C(=O)OCC
EFUBIR,1.3873,CCOC(=O)C1=CC(=O)C2C(N1)c1cccc(OC)c1OC2(O)C(=O)OCC
EFUCEO,1.1554,CCN1CCCCCn2c(C)cc(=O)n(c2=O)CCCCCN(CC)CCCCCn2c(=O)cc(C)n(c2=O)CCCCC1
EFUDER,1.4981,O=C(O)c1cc(NC(=O)c2cccc(-c3cccnc3)c2)cc(C(=O)O)c1
EFUDIV,1.464,O=C(O)c1cc(NC(=O)c2cccc(-c3ccncc3)c2)cc(C(=O)O)c1
EFUKUO,1.3234,CCOC(=O)C(=O)Nc1ccc(O)cc1
EFUPEB01,1.3648,O=C(O)c1cccnc1-c1nnc(-c2ccccn2)n1-c1ccccc1
EFUPUR,1.261,C=C(C)C1CCC2C(C)(OC(=O)c3ccc([N+](=O)[O-])cc3)CCCC12C#N
EFUQIH,1.471,CC(=O)N1C(=O)c2ccccc2C1=O
EFUQUU,1.3759,Cc1c(Nc2c(C=O)c(=O)oc3ccccc23)c(=O)n(-c2ccccc2)n1C
EFUVOQ,1.1152,c1ccc(CCC2c3cc4c5cc3OC(c3ccncc3)Oc3cc6c(cc32)C(CCc2ccccc2)c2cc3c(cc2OC(c2ccncc2)O6)OC(c2ccncc2)Oc2cc(c(cc2C3CCc2ccccc2)C4CCc2ccccc2)OC(c2ccncc2)O5)cc1
EFUVUY,1.2826,CC(C)(C)NC(=O)c1cc2ccccc2oc1=O
EFUWAE,1.1544,CC1CCC2(OC3(C)C4CC5C(CC(=O)C6CC(O)CCC65C)C4CCC3C2C)N(C)C1
EGABAQ,1.1746,C/C=C(/C1=[N+]([O-])OC(/C(=C/C)c2ccccc2)C1C)c1ccccc1
EGADEX,1.092,COc1ccc(C(=O)N/N=C2\CC3C(C)(C(=O)O)CCCC3(C)c3ccc(C(C)C)cc32)cc1
EGAFEZ,1.2933,Cc1ccc2c3cc(C(=O)c4ccccc4)cc(C(=O)c4ccccc4)c3n(C)c2c1
EGAFID,1.266,Cn1c2ccccc2c2cc(C(=O)c3ccccc3)c(-c3ccccc3)cc21
EGALUU,1.3753,COc1ccc2c(c1)C1c3c(c4ccccc4oc3=O)OC(c3ccco3)(N2)C1(C)C
EGAMEF,1.1707,CC(C)(C)NC(=O)C1(C)CC(C)(C)Nc2ccc([N+](=O)[O-])cc2N1
EGAQEL,1.3167,CN(C)/C(Cc1cccc([N+](=O)[O-])c1)=N/O
EGARIQ,1.2904,CC1=C/C(=C/Nc2ccc(C)cc2O)C(=O)C=C1
EGAXAL,1.1319,CC(C)NC(=O)N(C(=O)C1=CC(C)(C)[N+](=O)C1(C)C)C(C)C
EGAZIX,1.3697,COC(=O)c1ccc(-c2ccc([N+](=O)[O-])cc2)c(N)c1-c1ccc(OC)cc1
EGEDIG,1.3295,COc1ccc2c(c1)c1cc(OC)ccc1n2C
EGEHOP,1.2546,CCCC1=C(C(=O)OC)CCn2c1c(C#N)c1ccccc12
EGEHUV,1.2776,CCOC(=O)C1=C(c2ccccc2)c2c(C#N)c3ccccc3n2CC1
EGENEL,1.3142,OC1(c2cn(CC3Cn4nncc4CO3)nn2)CCCCC1
EGEQUC,1.3601,COc1cc(-n2ccnc2-c2ccc([N+](=O)[O-])cc2)cc(OC)c1OC
EGESAM,1.2801,COc1cc2c(cc1OC)C(C1C=CC(=O)N1C(=O)OC(C)(C)C)N(C(C)=O)C=C2
EGESEQ,1.3295,COC(=O)N1c2ccccc2-c2ccccc2C1C1C=CC(=O)O1
EGESUH,1.2655,O=C1C=C(NC(=O)OCc2ccccc2)C(=C(c2ccccc2)c2ccccc2)N1
EGEVAP,1.3245,COC1OC(COCc2cn(CC3Cn4nncc4CO3)nn2)C2OC(C)(C)OC12
EGEVIX,1.3881,c1ccc(-c2cn(CC3Cn4nncc4CO3)nn2)cc1
EGEVUH,1.3304,CCOC1(COCc2ccccc2)C=CC(n2cc(C)c(=O)[nH]c2=O)O1
EGIGEJ,1.3023,NC(=O)CCC(=O)C(O)(c1ccccc1)c1ccccc1
EGIGOT,1.3764,O=c1cccc(C2c3ccccc3Oc3ccccc32)[nH]1
EGIGUZ,1.2597,NC(=O)CCCC(=O)C1c2ccccc2CCc2ccccc21
EGIHAG,1.2811,O=C1CCCC2=C(N1)C(c1ccccc1)c1ccccc12
EGIHIO,1.2443,O=C1CCCCC(=C2c3ccccc3CCc3ccccc32)N1
EGILEO,1.2557,CCOC(=O)/C=N/N(C/C(=C\c1ccc(OC)cc1)C(=O)OCC)C(=O)c1ccccc1
EGINUG,1.2698,CCN(CC)C(=O)C1C2OCCc3cccc(c32)OC1(C)O
EGIQEQ,1.3202,CCOC(=O)CN1C(=O)NC2(c3ccc(OC)cc3)NC(=O)N(CC(=O)OCC)C12c1ccc(OC)cc1
EGIRUJ,1.457,N#C/C(=C\c1cccc(O)c1)C(N)=O
EGISOE,1.3375,CCOC(=O)/C(C#N)=N/OC(=O)c1ccc2ccccc2c1
EGIVUM,1.3672,CCCn1c(=O)c2[nH]c(-c3ccc([N+](=O)[O-])cc3)c(O)c2n(CCC)c1=O
EGIWEY,1.3851,CCOC(=O)c1cc(C(=O)c2ccccc2O)[nH]c1N
EGOBEK,1.2789,COC(=O)C1C2C=CC(O2)C1NC(=O)OC(C)(C)C
EGOBIO,1.2215,CC(C)(C)OC(=O)N/C=C\C(=O)O
EGOBOU,1.1601,CCOC(=O)/C=C/NC(=O)OC(C)(C)C
EGOHUG,1.1778,COC(=O)C(C)NC(=O)C1(C)CCN1C(=O)C(C)NC(=O)OC(C)(C)C
EGOJOC,1.1493,CCC(CC)(NC(=O)CNC(C)=O)C(=O)OC(C)(C)C
EGOJUI,1.1469,CCC(CC)(NC(=O)OCc1ccccc1)C(=O)NCC(=O)OC(C)(C)C
EGOKET,1.38,C=C(NC(=O)c1ccc(C#N)cc1)C(=O)NC(=C)C(=O)NC(=C)C(=O)OC
EGOMET,1.1453,CCCCNC1=C(C(=O)OC(C)(C)C)C(c2ccccc2)CC(O)(c2ccccc2)C1
EGOMOD,1.273,COc1ccccc1Oc1ccc(N(C(C)=O)c2ccccc2)cc1
EGONAP,1.1435,C=CCC(C)(NC(=O)C(C)(C)NC(=O)OC(C)(C)C)C(=O)NCc1ccccc1
EGOPAR,1.1973,COC(=O)Cc1cccc(NC(=O)C(C)(C)NC(=O)OC(C)(C)C)c1
EGORAW,1.3614,CC1(C)COC2(CC(Nc3cccc([N+](=O)[O-])c3)C(=O)O2)C1
EGOREA,1.3142,CC1(C)CCC2C(Nc3cccc([N+](=O)[O-])c3)C(=O)OC2(C)O1
EGORIE,1.3063,Cc1ccc(C23OC(=O)C(Nc4cccc([N+](=O)[O-])c4)C2CCN3C(=O)OC(C)(C)C)cc1
EGOTEZ,1.3584,Oc1ccc2ccccc2c1-c1nc2ccccc2o1
EGOVOO,1.25,COCCc1ccc(Oc2ccc(C#N)c(C#N)c2)cc1
EGOWAB,1.2102,CCN(CC)c1ccc(/C=N/NC(=O)C2CCCCC2C(=O)N/N=C/c2ccc(N(CC)CC)cc2O)c(O)c1
EGOWEE,1.0395,CCC1C2CCCC[N+]3([O-])CCC(C4C(C)C(=O)OC14)C23
EGOWEF,1.2125,CCN(CC)c1ccc(/C=N/NC(=O)C2CCCCC2C(=O)N/N=C/c2ccc(N(CC)CC)cc2O)c(O)c1
EGOZIK,1.3547,C=C(C#N)COC1OC(CO)C(O)C(O)C1O
EGOZUX,1.2708,O=C1CCC2CCc3ccccc3CN12
EGUCOB,1.1224,CC(C)(C)c1ccc(-c2nnc(-c3ccc(C(C)(C)C)cc3)o2)cc1
EGUDAO,1.2528,CC1(C)c2cc(C#N)ccc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc21
EGUFAN,1.3076,COC(=O)C1ON(Cc2ccccc2)C(C2C(OC)C(=O)N2c2ccc(OC)cc2)C1C(=O)OC
EGUFET,1.2947,O=C(OCCn1c(-c2ccccn2)nc2ccccc21)c1ccc2c3c(ccc2c1)OC(c1ccccc1)(c1ccccc1)C=C3
EGUMIF,1.2907,CCOC(=O)C1=C(NC(C)(C)C)CC2(O)C(=O)c3ccccc3C12O
EGUPAA,1.1622,COc1ccc(O)c(/C=N/Cc2ccc(C(C)(C)C)cc2)c1
EGUPOL,1.2897,CC(O)C1OC(=O)C(NC(=O)OCc2ccccc2)C1OCc1ccccc1
EGUQIG,1.3885,O=C1C(C(O)c2ccc([N+](=O)[O-])cc2)CC2CCN12
EGUQOM,1.3841,O=C1C(C(O)c2ccc([N+](=O)[O-])cc2)CC2CCN12
EGUQUS,1.3487,O=C1C(C(O)c2ccc([N+](=O)[O-])cc2)CC2CCN12
EGURIH,1.5476,O=C(NC1CCC1C(=O)O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
EGUTEI,1.3487,CCOC(=O)C1NC(CC(=O)OC)(C(=O)OC)C2(C(=O)N(Cc3ccccc3)c3ccccc32)C1C(=O)c1ccccc1
EGUTUY,1.2819,O=C(O)CNC(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1
EGUVEK,1.1856,CC(C)C(NC(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O
EGUWAF,1.1652,CC(C)C(CO)n1ccnc1
EGUWEL,1.23,O=C(O)C1CCCN1C(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1
EGUXIP,1.2684,C=C1CCC2C(C)(CCC(OC(C)=O)C2(C)C(=O)OC)C1CC1(OC(C)=O)C(C(=O)OC)=Nc2ccccc21
EGUZIQ,1.3364,COc1ccccc1/C=N/NC(=O)c1ccccc1[N+](=O)[O-]
EHABAR,1.3662,c1ccc2c(c1)CN(c1ccc(N3COc4ccccc4C3)cc1)CO2
EHABUL,1.0916,CC(C)(C)NC(=O)C1CCC2C3CCC4CCCCC4(C)C3CCC12C
EHADOG,1.3607,O=C(CC(O)(c1ccc2ccccc2c1)c1c[nH]cn1)N1C(=O)OCC1c1ccccc1
EHADUM,1.3244,O=C(CC(O)(c1ccccc1)c1ccccn1)N1C(=O)OCC1c1ccccc1
EHAHAY,1.3447,O=C(NC(Cc1ccccc1)C(=O)Nc1cccnc1)c1cccnc1
EHAHAZ,1.2807,C(=C/C12COc3ccccc3C1=Nc1ccccc1C2)\c1ccccc1
EHAHEC,1.4004,CC(NC(=O)c1ccncc1)C(=O)Nc1cccnc1
EHAKAZ,1.2425,C#CCC(O)C(NC(C)=O)C1OC(C)(C)OC1C1COC(C)(C)O1
EHAPAH,1.4629,CC1=C/C(=C/Nc2cc([N+](=O)[O-])ccc2O)C(=O)C=C1
EHASEM,1.352,COc1cccc2c1[nH]c1c(C3CCC3c3ncc(OC)c4c3[nH]c3ccccc34)ncc(OC)c12
EHATEN,1.3599,COc1ccc2c(c1)NC(=O)/C2=C(\C(C)=O)c1c[nH]c2ccccc12
EHATUC,1.1746,Cc1ccccc1NC(=O)/C=C/c1ccccc1
EHAVAK,1.2274,COc1ccccc1NC(=O)/C=C/c1ccccc1
EHAXOC,1.3806,COc1ccccc1C1CC(O)ON1C(=O)OCc1ccccc1
EHAYIV,1.1778,O=C1CCCCC1ONc1ccccc1
EHAZIW,1.3853,O=C(OCC1=CCOC1N1C(=O)CCC1O)c1ccc[nH]1
EHECAV,1.3186,COC1CCC(C#N)(OC(=O)c2ccc([N+](=O)[O-])cc2)CC1
EHEDIE,1.3573,COC(=O)C12c3ccccc3C3C1C1C(C#N)C1C1C3C12C(=O)OC
EHEHIJ,1.207,COc1ccc(C2CC(O)CC(C)N2)cc1
EHESIW,1.3881,N#CC1=C(N)OC2=C(C(=O)CCC2)C12C(=O)Nc1ccccc12
EHEXUM,1.2199,CCOC(=O)C(C)(CC(c1ccc(OC)cc1)c1cn(C)c2ccccc12)C(=O)OCC
EHIKIQ,1.3878,COC(=O)N1CCc2ccccc2NC1=O
EHILIR,1.171,CCN(CC)C(=O)OC1(C(=O)Cc2ccccc2)CCCCC1
EHIMIT,1.3586,CCOC(=O)CNC(=O)c1nc2ccc(C)cc2cc1OCCO
EHIPUH,1.3236,COC1(OC)C(=O)C2C=CC1N(C(=O)C13CCC(CC1=O)C3(C)C)O2
EHITIZ,1.3104,COc1nc(C)cc2c1C(=O)C1=C(O)CCCC1C2
EHITOF,1.3407,COc1nc(C)cc2cc3c(c(O)c12)C(=O)CCC3
EHIYEB01,1.2912,COc1ccc(C(=O)N/N=C/c2ccc(C)cc2)cc1
EHLYCO,1.5391,O=C1c2cc3c(cc2C2C4OC4C(O)C4CCN1C42)OCO3
EHMBCX,1.2005,CCC1(C(N)=O)c2ccccc2C2CCCC1C2
EHMPYX10,1.2942,CCOC(=O)c1[nH]c(/C=C2\CCC(=O)N2)c(C)c1C
EHOHOZ,1.2958,Cc1ccc(C(=O)/C=C(\O)c2cccc(/C(O)=C/C(=O)c3ccc(C)cc3)n2)cc1
EHOJAP,1.2076,COC(=O)C(C(C)C)N1C(=O)c2ccccc2C1Cc1ccccc1
EHOKAN,1.2844,CC1OCC(O)C(C2CC(C3OC(C)OCC3O)N(Cc3ccccc3)O2)O1
EHOLIW,1.3002,COC(=O)C12CCC(CC1C(=O)O)N2C(=O)c1ccccc1
EHOMOF,1.281,Cc1ccc(C(=O)C(CN(C)c2ccccc2)ON2C(=O)c3ccccc3C2=O)cc1
EHONUK01,1.3191,CC(CO)(CO)N/C=C1\C(=O)C=Cc2ccccc21
EHOPAS02,1.3418,O=C1C=Cc2ccccc2/C1=C/NC(CO)(CO)CO
EHOPOJ,1.2709,CCc1n[nH]c(=O)n1CCc1ccc(OC)cc1
EHOPUP,1.2235,CCCc1n[nH]c(=O)n1CCc1ccc(OC)cc1
EHOQIE,1.2644,CCOC(=O)c1cc(CCc2ccc(OC)cc2)[nH]n1
EHORUR,1.2388,Cc1ccccc1/C(=N\O)c1c(C)oc2ccccc12
EHOSEB,1.2196,CC1CCC(=O)C(C(O)c2ccccc2[N-][N+]#N)C1
EHOWOQ,1.1515,CCCCCCCCOc1ccc(/C(=N/CC/N=C(\c2ccccc2)c2ccc(OCCCCCCCC)cc2O)c2ccccc2)c(O)c1
EHOZEG,1.2223,C=CCOc1c(OC)ccc2c1C1(C=CC(=O)CC1)CN(C(=O)OC(C)(C)C)C2
EHOZIN,1.2013,CC(C)OC(=O)C1(C#N)C2CC(=O)C(C2N2CCCCC2)C(C#N)(C(=O)OC(C)C)C1c1ccccc1
EHUCIT,1.2329,CCCCCCC(C)OC(=O)Nc1ccc2ccc3cccc4ccc1c2c34
EHUDIX,1.1643,CC(C)(C)C(=O)NNC(=O)Nc1ccccc1
EHUDOD,1.2787,CC(C)(C)C1(O)N=NC(=O)N1c1ccccc1
EHUDUJ,1.2617,CC(C)(C)n1[nH]c(=O)n(-c2ccccc2)c1=O
EHULAV01,1.1955,CCOc1cccc(/C=N/CCC/N=C/c2cccc(OCC)c2O)c1O
EHULOK,1.1594,Cc1ccc(C/C(=C/C(=O)c2ccc(C)cc2)Nc2ccc(C)cc2)cc1
EHUMEC,1.4151,N#Cc1ccc2c(c1)OCO2
EHUNUQ,1.2067,C/C(=C/C(=O)c1ccccc1)NCCC(O)CCN/C(C)=C\C(=O)c1ccccc1
